ID,m06-2x,Time
0,-323.77491632321625,746.2744913101196
1,-323.781894277284,752.5601370334625
2,-323.77681474370644,711.2644228935242
3,-323.77144260255193,712.3365135192871
4,-323.77733891328916,723.2333106994629
5,-323.78333162229893,717.1668348312378
6,-323.7648603193513,753.3378381729126
7,-323.7738281936208,756.3527941703796
8,-323.7804248164816,750.9547045230865
9,-323.77875847474036,759.110422372818
10,-323.77559005412775,749.3408682346344
11,-323.78031710612316,753.2743458747864
12,-323.77514328166416,747.8359863758087
13,-323.77770081414525,743.1016473770142
14,-323.6768109453102,860.9879505634308
15,-323.5617291204506,1180.9984514713287
16,-323.43238640139896,1222.448234796524
17,-323.526271953854,1572.6352200508118
18,-323.5612232804994,1438.8967428207397
19,-323.62275371024384,697.6989686489105
