ID,b3lyp,Time
0,-194.4659173853524,130.32746005058289
1,-194.4656850173436,130.3860466480255
2,-194.46453641463785,130.28244876861572
3,-194.45539911779778,129.91081190109253
4,-194.43045009415738,137.8067729473114
5,-194.34791073339332,152.06325817108154
6,-194.30825989537462,184.01028752326965
7,-194.2789459567589,168.302668094635
8,-194.2482269276041,331.58588433265686
9,-194.23005480514666,329.56962180137634
10,-194.2197762311422,447.3302261829376
11,-194.2900959248807,373.9567060470581
12,-194.2901726448008,334.28938937187195
13,-194.29015665074866,389.4096713066101
14,-194.29028973306905,264.68635392189026
15,-194.29033464427258,375.83454394340515
16,-194.29019637380313,449.23765420913696
17,-194.29253821061968,496.7298438549042
18,-194.29253559735176,1762.520938873291
19,-194.2924491594604,486.2224726676941
