ID,m06-2x,Time
0,-194.354562802357,413.45033597946167
1,-194.35427171978458,410.3782136440277
2,-194.35297147592445,383.1429331302643
3,-194.3432758281993,414.2242579460144
4,-194.31713716054546,440.0568859577179
5,-194.22933296474844,521.2809104919434
6,-194.1851678095899,583.8884615898132
7,-194.15051474629064,603.251068353653
8,-194.110847770068,899.8461573123932
9,-194.08734733669527,879.2802679538727
10,-194.07338519408944,1169.293223619461
11,-194.06429799366,1641.8058969974518
12,-194.17248946509307,1401.1742570400238
13,-194.17266613685615,1296.1687488555908
14,-194.17291743270528,1135.3098938465118
15,-194.17297454779376,1921.0229647159576
16,-194.1727804397712,2049.006927728653
17,-194.16455569467243,5865.536978721619
18,-194.17549149650003,13491.472508192062
19,-193.6986055363601,13503.731483459473
