ID,wb97x-v,Time
0,-194.52924063830633,300.6336901187897
1,-194.52898066582185,301.03621792793274
2,-194.52772381396036,299.4525079727173
3,-194.51811988888545,299.44301176071167
4,-194.4920893776236,310.15517807006836
5,-194.4047014667034,386.19467306137085
6,-194.3603933848443,485.53726601600647
7,-194.32551917471264,754.6779236793518
8,-194.28386023943204,749.821537733078
9,-194.25719277000474,700.17871260643
10,-194.24021061872267,938.7111659049988
11,-194.22828104500957,704.9913079738617
12,-194.2198996617144,1054.379943370819
13,-194.21350088636174,1125.2180519104004
14,-194.35108542689972,745.4682896137238
15,-194.20456297616303,833.0744142532349
16,-194.20107412560208,1353.3570759296417
17,-194.35416755846157,802.0159955024719
18,-194.19542522449808,749.8501780033112
19,-194.19286133877858,877.2201445102692
