ID,wb97x-v,Time
0,-170.0231457465245,57.31093454360962
1,-170.02311137737942,57.52993059158325
2,-170.01887037468157,57.19843649864197
3,-170.0090578353765,57.135966777801514
4,-169.98786108440925,57.019866704940796
5,-169.8315696395892,75.92064476013184
6,-169.82773902721306,72.88398718833923
7,-169.95434135462094,56.21252179145813
8,-169.97944320974014,54.92870235443115
9,-169.98262476667418,50.09253191947937
10,-169.9824272978574,53.175352334976196
11,-169.96737601125298,54.112143754959106
12,-169.84386533598328,1543.6676445007324
13,-169.75615125995827,96.84349417686462
14,-169.72894011429202,121.271963596344
15,-169.71018989115905,425.85529017448425
16,-169.68952940402323,208.34495091438293
17,-169.6801967966671,135.82681322097778
18,-169.67687898365702,236.02008199691772
19,-169.67424732777752,179.78249287605286
