ID,m06-2x,Time
0,-169.90798487412627,85.2350447177887
1,-169.90794810258393,84.99626207351685
2,-169.90364296213556,85.15588974952698
3,-169.89370417954447,85.12701225280762
4,-169.87243947447487,84.8163685798645
5,-169.71645257418402,116.0392198562622
6,-169.71426597392687,116.0551974773407
7,-169.84238514475578,85.44705510139465
8,-169.86776340443006,85.6070442199707
9,-169.87037752987482,86.12641215324402
10,-169.87020386710105,85.8911988735199
11,-169.85436187512082,91.17569637298584
12,-169.73070156197704,137.77221655845642
13,-169.6480383751392,153.4228367805481
14,-169.62364418379022,231.80485343933105
15,-169.60805988502096,575.5899784564972
16,-169.5925146246302,475.52575278282166
17,-169.6964497952847,274.1896798610687
18,-169.69643549726905,2428.552407026291
19,-169.69652128631373,2691.1146852970123
