ID,b3lyp,Time
0,-169.9887242052514,18.393862009048462
1,-169.98869382133842,18.67759108543396
2,-169.98449166037238,18.599536657333374
3,-169.97433820085928,18.675118446350098
4,-169.95293311062534,18.567265510559082
5,-169.8088298809806,25.158279180526733
6,-169.8047451115136,24.972917556762695
7,-169.92465058040517,18.658956289291382
8,-169.94920614897035,18.571453332901
9,-169.95247533294844,18.476415872573853
10,-169.95230329663374,18.644546508789062
11,-169.93815355166794,18.54063129425049
12,-169.82382157804167,28.394689798355103
13,-169.7577332648934,30.397541046142578
14,-169.78830384912237,41.706743001937866
15,-169.7284576517015,115.06061553955078
16,-169.7881990417597,62.246861696243286
17,-169.78812161796378,75.52772784233093
18,-169.788077965995,36.93936848640442
19,-169.78809902606497,55.69873547554016
