ID,wb97x-v,Time
0,-79.91369435995831,48.02178478240967
1,-79.91180593021465,52.47224402427673
2,-79.90533755879777,52.25641179084778
3,-79.8593069148353,57.359455823898315
4,-79.79319816839009,64.89883637428284
5,-79.72917463903416,72.54916214942932
6,-79.7041053165441,72.14467477798462
7,-79.67139369891763,75.86259293556213
8,-79.6345081909282,75.28249263763428
9,-79.64087872107237,74.30883455276489
10,-79.64637268134052,81.97775983810425
11,-79.65054211702518,65.78374576568604
12,-79.64154045976939,69.17972588539124
13,-79.63510838272435,75.8929533958435
14,-79.73979950289069,68.14296817779541
15,-79.74046778042643,56.41813278198242
16,-79.74078039694044,78.55661725997925
17,-79.74099497330793,138.6533362865448
18,-79.74110775796508,81.52459573745728
19,-79.61151269849722,92.02911138534546
