ID,b3lyp,Time
0,-79.87732039300079,18.323264837265015
1,-79.8753358135163,21.26359510421753
2,-79.86878329727486,20.807886123657227
3,-79.823945961064,23.361419677734375
4,-79.76224516301386,28.178889751434326
5,-79.70505136174634,29.540469646453857
6,-79.68255775511753,29.621662139892578
7,-79.65277713676474,31.18991446495056
8,-79.62545716923209,39.328489542007446
9,-79.63855438316429,37.40326523780823
10,-79.64581288200743,43.88003611564636
11,-79.65008676801128,48.77827310562134
12,-79.64595025433563,42.33414673805237
13,-79.64325342657911,45.23670244216919
14,-79.64173653626779,42.488460540771484
15,-79.64023116406733,58.552570104599
16,-79.70620046364691,139.16867470741272
17,-79.70641436739999,263.28122425079346
18,-79.7065255615256,136.76179194450378
19,-79.70651050453304,161.9612820148468
