ID,wb97x-v,Time
0,-249.93510612634654,660.3258011341095
1,-249.93340812521294,662.300618648529
2,-249.9348770687901,664.6423923969269
3,-249.9392736992591,668.5575921535492
4,-249.94025103935397,668.0908300876617
5,-249.9373173557086,658.3456344604492
6,-249.90953742482122,650.8120501041412
7,-249.8503547704089,798.1217865943909
8,-249.8273131563547,744.3711667060852
9,-249.8090354070105,1094.435492515564
10,-249.79413261262957,893.9398665428162
11,-249.78160392378612,917.1872291564941
12,-249.77223363771827,1001.1347365379333
13,-249.76414928158903,947.6203169822693
14,-249.75709170359968,1007.0874264240265
15,-249.7470341186273,1584.6372842788696
16,-249.74100436971028,1072.6793715953827
17,-249.73560647381206,1555.6232960224152
18,-249.73078253140147,1402.720660686493
19,-249.72640792421498,1556.8395640850067
