ID,b3lyp,Time
0,-249.85652195416426,278.6775233745575
1,-249.85504634825216,278.46780800819397
2,-249.85640325064352,280.28289699554443
3,-249.86074210829292,276.9217071533203
4,-249.86153962174998,261.16676449775696
5,-249.85935234715413,261.5608994960785
6,-249.83536795260255,277.64621758461
7,-249.78573929321738,306.9120695590973
8,-249.76518710011194,366.17698550224304
9,-249.74906298265913,370.612193107605
10,-249.7367054700053,828.8058521747589
11,-249.73849558880482,718.6003241539001
12,-249.73495939333296,859.1110963821411
13,-249.73240231752095,2210.9452698230743
14,-249.73050717586327,2331.421181201935
15,-249.72906486104043,3089.666245698929
16,-249.72793414767892,3904.122639656067
17,-249.727022778971,1118.6786706447601
18,-249.7262427680898,6948.9037408828735
19,-249.72554530930256,7707.5939066410065
